,title,location,price,area,rooms,interior,construction_period
190,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
191,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
192,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
193,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
194,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
195,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
196,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
197,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
198,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
199,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
200,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
201,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
202,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
203,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
204,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
205,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
206,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
207,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
208,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
209,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
210,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
211,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
212,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
213,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
214,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
215,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
216,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
217,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
218,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
219,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
220,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
221,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
222,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
223,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
224,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
225,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
226,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
227,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
228,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
229,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
230,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
231,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
232,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
233,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
234,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
235,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
236,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
237,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
238,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
239,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
240,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
241,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
242,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
243,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
244,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
245,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
246,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
247,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
248,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
249,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
250,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
251,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
252,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
253,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
254,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
255,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
256,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
257,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
258,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
259,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
260,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
261,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
262,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
263,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
264,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
265,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
266,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
267,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
268,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
269,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
270,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
271,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
272,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
273,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
274,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
275,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
276,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
277,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
278,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
279,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
280,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
281,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
282,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
283,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
284,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
285,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
286,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
287,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
288,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
289,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
290,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
291,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
292,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
293,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
294,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
295,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
296,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
297,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
298,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
299,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
300,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
301,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
302,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
303,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
304,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
305,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
306,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
307,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
308,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
309,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
310,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
311,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
312,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
313,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
314,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
315,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
316,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
317,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
318,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
319,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
320,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
321,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
322,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
323,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
324,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
325,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
326,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
327,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
328,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
329,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
330,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
331,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
332,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
333,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
334,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
335,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
336,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
337,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
338,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
339,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
340,                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished,
341,                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished,
342,                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished,
343,                        Apartment Marie Heinekenplein                            ,            1072 MK Amsterdam (Oude Pijp)        ,"                €2,400 per month            ",105 m²,3 rooms,,1995
344,                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished,
345,                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished,
346,                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished,
347,                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished,
348,                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished,
349,                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,250 per month            ",98 m²,4 rooms,Furnished,
350,                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished,
351,                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered,
352,                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered,
353,                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered,
354,                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered,
355,                        House Oostenburgervoorstraat                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,000 per month            ",110 m²,4 rooms,,2011-2020
356,                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished,
357,                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished,
358,                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered,
359,                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished,
360,                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished,
361,                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered,
362,                        Apartment Kinkerstraat                            ,            1053 ED Amsterdam (Kinkerbuurt)        ,"                €1,500 per month            ",31 m²,2 rooms,,1896
363,                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished,
364,                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered,
365,                        Apartment Olympiaweg                            ,            1076 XB Amsterdam (Stadionbuurt)        ,"                €1,800 per month            ",54 m²,2 rooms,Furnished,
366,                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished,
367,                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished,
368,                        Apartment Langestraat                            ,            1015 AL Amsterdam (Grachtengordel-West)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished,
369,                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished,
